,Gene,EffectSize,P-Value,FDR,pBH
4296,ENSG00000116990,6.3681971963116135,1.9126291687970092e-10,True,5.621925488325216e-06
7401,ENSG00000141738,5.694596494562529,1.2366403127257493e-08,True,0.00029740449936577684
8939,ENSG00000155659,5.591319821603075,2.2535006010269118e-08,True,0.000496790465457995
10164,ENSG00000164303,-8.082146174771614,6.363676123897777e-16,True,2.8057801468297468e-11
10417,ENSG00000165507,119.42745967572921,0.0,True,0.0
15207,ENSG00000200351,4.915352612556702,8.862280297790372e-07,True,0.01674612258996592
17222,ENSG00000225726,11.575620087683253,5.47737820409162e-31,True,4.8300129429921664e-26
17416,ENSG00000226647,-5.224661267462145,1.7447420896952362e-07,True,0.003550460665981834
17650,ENSG00000227733,-6.525026717210686,6.798941384939246e-11,True,2.2482682634118743e-06
19267,ENSG00000235565,8.444939446340936,3.0420309902237974e-17,True,1.6094980308047884e-12
19979,ENSG00000239946,-17.609235984748892,2.0925035503581184e-69,True,2.7677893112995955e-64
22012,ENSG00000255893,-7.691449541419239,1.454773064907955e-14,True,5.497864492415836e-10
23238,ENSG00000261526,9.24194512269046,2.4205624916546977e-20,True,1.6008591695311566e-15
23339,ENSG00000261842,4.87610469062987,1.0820119906180925e-06,True,0.01908260384595742
23375,ENSG00000262222,6.1270353199072245,8.953160312623602e-10,True,2.3684988645673105e-05
